Code AGB;Code CIQUAL;Groupe d'aliment;Sous-groupe d'aliment;Nom du Produit en Français;LCI Name;code saison;code avion;Livraison;Matériau d'emballage;Préparation;DQR;Score unique EF 3.1;Changement climatique;Appauvrissement de la couche d'ozone;Rayonnements ionisants;Formation photochimique d'ozone;Particules fines;Effets toxicologiques sur la santé humaine : substances non-cancérogènes;Effets toxicologiques sur la santé humaine : substances cancérogènes;Acidification terrestre et eaux douces;Eutrophisation eaux douces;Eutrophisation marine;Eutrophisation terrestre;Écotoxicité pour écosystèmes aquatiques d'eau douce;Utilisation du sol;Épuisement des ressources eau;Épuisement des ressources énergétiques;Épuisement des ressources minéraux
26271;26271;entrées et plats composés;pizzas, tartes et crêpes salées;Pizza kebab;Pizza, kebab;2;0;Glacé;Carton;Four ;2.32;4.36E-01;3.08E+00;5.09E-07;1.75E+00;7.24E-03;3.24E-07;6.40E-08;2.63E-09;4.38E-02;5.40E-04;1.36E-02;1.84E-01;4.00E+01;1.80E+02;3.09E+00;5.31E+01;1.65E-05
26273;26273;entrées et plats composés;pizzas, tartes et crêpes salées;Pizza type raclette ou tartiflette;Pizza with raclette or tartiflette cheese and lardoons;2;0;Glacé;Carton;Four ;2.33;5.42E-01;3.59E+00;2.23E-07;1.83E+00;8.14E-03;5.05E-07;5.57E-08;2.69E-09;6.98E-02;5.82E-04;1.70E-02;2.99E-01;4.33E+01;2.16E+02;2.95E+00;5.44E+01;1.60E-05
20273;20273;entrées et plats composés;plats composés;Poêlée de légumes assaisonnés à l'asiatiques ou wok de légumes, surgelée, crue;Vegetables pan-fried or stir-fried, Asian-style, frozen, raw;2;0;Congelé;LDPE;Micro-onde ;3.23;1.67E-01;1.19E+00;1.19E-07;1.12E+00;3.61E-03;5.84E-08;2.18E-08;7.39E-10;6.37E-03;2.82E-04;3.29E-03;1.94E-02;7.04E+00;1.45E+01;2.73E+00;3.70E+01;9.11E-06
20498;20498;entrées et plats composés;plats composés;Poêlée de légumes assaisonnés aux champignons ("champêtre"), surgelée;Vegetables pan-fried with mushrooms (country-style), frozen;2;0;Congelé;LDPE;Micro-onde ;3.23;1.67E-01;1.19E+00;1.19E-07;1.12E+00;3.61E-03;5.84E-08;2.18E-08;7.39E-10;6.37E-03;2.82E-04;3.29E-03;1.94E-02;7.04E+00;1.45E+01;2.73E+00;3.70E+01;9.11E-06
20274;20274;entrées et plats composés;plats composés;Poêlée de légumes assaisonnés grillée, méridionale ou méditerranéenne, surgelée, crue;Grilled vegetables pan-fried, Mediterranean-style, frozen, raw;2;0;Congelé;LDPE;Micro-onde ;2.79;1.67E-01;1.19E+00;1.19E-07;1.12E+00;3.61E-03;5.84E-08;2.18E-08;7.39E-10;6.37E-03;2.82E-04;3.29E-03;1.94E-02;7.04E+00;1.45E+01;2.73E+00;3.70E+01;9.11E-06
20262;20262;entrées et plats composés;plats composés;Poêlée de légumes assaisonnés sans champignon, surgelée, crue;Vegetables pan-fried without mushrooms, frozen, raw;2;0;Congelé;LDPE;Micro-onde ;3.23;1.67E-01;1.19E+00;1.19E-07;1.12E+00;3.61E-03;5.84E-08;2.18E-08;7.39E-10;6.37E-03;2.82E-04;3.29E-03;1.94E-02;7.04E+00;1.45E+01;2.73E+00;3.70E+01;9.11E-06
25057;25057;entrées et plats composés;plats composés;Poêlée de pommes de terre préfrites, lardons ou poulet, et autres, sans légumes verts;Pre-fried potatoes, pan-fried, lardoons or chicken, and other, without green vegetables;2;0;Glacé;PP;Micro-onde ;1.90;3.23E-01;2.28E+00;2.54E-07;1.08E+00;4.91E-03;1.94E-07;3.21E-08;1.44E-09;2.52E-02;3.10E-04;8.44E-03;1.04E-01;2.64E+01;8.03E+01;7.31E+00;4.19E+01;1.01E-05
25086;25086;entrées et plats composés;plats composés;Poisson blanc à la bordelaise;Fish w bordelaise sauce;2;0;Glacé;PP;Micro-onde ;3.27;1.25E+00;7.77E+00;1.54E-06;1.18E+00;1.24E-01;1.40E-06;6.29E-08;5.93E-09;1.84E-01;5.91E-04;4.85E-02;5.08E-01;4.60E+01;1.20E+02;4.98E+00;1.14E+02;3.13E-05
25140;25140;entrées et plats composés;plats composés;Poisson blanc à la florentine (sauce aux épinards);White fish with Florentine-style sauce (spinach sauce);2;0;Glacé;PP;Micro-onde ;2.83;1.47E+00;8.59E+00;1.75E-06;1.22E+00;1.63E-01;1.82E-06;5.80E-08;5.82E-09;2.41E-01;4.19E-04;6.02E-02;6.50E-01;4.17E+01;6.32E+01;7.60E-01;1.27E+02;3.12E-05
25141;25141;entrées et plats composés;plats composés;Poisson blanc à la marinière (sauce aux oignons, vin blanc, moules);White fish with shallots, mussels and white wine sauce;2;0;Glacé;PP;Micro-onde ;2.83;1.25E+00;7.77E+00;1.54E-06;1.18E+00;1.24E-01;1.40E-06;6.29E-08;5.93E-09;1.84E-01;5.91E-04;4.85E-02;5.08E-01;4.60E+01;1.20E+02;4.98E+00;1.14E+02;3.13E-05
25143;25143;entrées et plats composés;plats composés;Poisson blanc à la parisienne (sauce aux champignons);White fish with Parisian-style sauce (mushrooms sauce);2;0;Glacé;PP;Micro-onde ;2.83;1.55E+00;9.07E+00;1.89E-06;1.26E+00;1.73E-01;1.93E-06;5.55E-08;6.30E-09;2.55E-01;4.52E-04;6.32E-02;6.85E-01;4.47E+01;5.75E+01;1.18E+00;1.34E+02;3.38E-05
25128;25128;entrées et plats composés;plats composés;Poisson blanc à la provençale ou niçoise (sauce tomate);White fish with Provencal-style sauce (tomato sauce);2;0;Glacé;PP;Micro-onde ;2.83;1.63E+00;9.17E+00;1.98E-06;1.26E+00;1.86E-01;2.04E-06;5.69E-08;6.33E-09;2.70E-01;4.18E-04;6.67E-02;7.19E-01;4.17E+01;5.53E+01;2.09E+00;1.41E+02;3.42E-05
25142;25142;entrées et plats composés;plats composés;Poisson blanc à la sauce moutarde;White fish with mustard sauce;2;0;Glacé;PP;Micro-onde ;3.27;1.47E+00;8.59E+00;1.75E-06;1.22E+00;1.63E-01;1.82E-06;5.80E-08;5.82E-09;2.41E-01;4.19E-04;6.02E-02;6.50E-01;4.17E+01;6.32E+01;7.60E-01;1.27E+02;3.12E-05
25145;25145;entrées et plats composés;plats composés;Poisson blanc à l'estragon;White fish with tarragon sauce;2;0;Glacé;PP;Micro-onde ;3.27;1.47E+00;8.59E+00;1.75E-06;1.22E+00;1.63E-01;1.82E-06;5.80E-08;5.82E-09;2.41E-01;4.19E-04;6.02E-02;6.50E-01;4.17E+01;6.32E+01;7.60E-01;1.27E+02;3.12E-05
25146;25146;entrées et plats composés;plats composés;Poisson blanc sauce oseille;White fish with sorrel sauce;2;0;Glacé;PP;Micro-onde ;3.27;1.47E+00;8.59E+00;1.75E-06;1.22E+00;1.63E-01;1.82E-06;5.80E-08;5.82E-09;2.41E-01;4.19E-04;6.02E-02;6.50E-01;4.17E+01;6.32E+01;7.60E-01;1.27E+02;3.12E-05
26054;26054;entrées et plats composés;plats composés;Poisson en sauce, surgelé;Fish, in sauce, frozen;2;0;Congelé;LDPE;Micro-onde ;3.27;1.48E+00;8.79E+00;1.69E-06;1.44E+00;1.58E-01;1.77E-06;6.18E-08;5.88E-09;2.33E-01;9.50E-04;5.81E-02;6.27E-01;4.31E+01;6.34E+01;1.23E+00;1.36E+02;3.59E-05
25207;25207;entrées et plats composés;plats composés;Porc au caramel;Pork with caramel sauce;2;0;Glacé;PP;Micro-onde ;2.42;1.55E+00;1.07E+01;1.43E-06;4.88E+00;2.37E-02;1.40E-06;1.53E-07;8.81E-09;1.96E-01;1.80E-03;4.83E-02;8.39E-01;1.60E+02;6.32E+02;8.01E+00;1.53E+02;4.15E-05
25013;25013;entrées et plats composés;plats composés;Pot-au-feu;Boiled meat with vegetables;2;0;Glacé;PP;Micro-onde ;2.66;1.66E+00;1.67E+01;4.36E-07;1.20E+00;2.54E-02;1.54E-06;3.25E-07;8.17E-09;2.28E-01;1.04E-03;5.28E-02;1.00E+00;8.85E+01;1.16E+03;4.69E+00;6.01E+01;3.33E-05
25071;25071;entrées et plats composés;plats composés;Potée auvergnate (chou et porc);Pork sausage stew with cabbage, carrots and potatoes;2;0;Glacé;PP;Micro-onde ;2.38;6.19E-01;4.32E+00;5.63E-07;2.23E+00;9.72E-03;5.26E-07;6.16E-08;3.36E-09;7.26E-02;7.17E-04;1.85E-02;3.08E-01;6.36E+01;2.30E+02;3.45E+00;7.08E+01;1.81E-05
25174;25174;entrées et plats composés;plats composés;Poulet au curry et au lait de coco;Chicken with curry and coconut milk sauce;2;0;Glacé;PP;Micro-onde ;2.47;9.02E-01;6.79E+00;4.39E-07;1.18E+00;1.80E-02;7.61E-07;1.48E-07;6.49E-09;1.04E-01;1.47E-03;2.91E-02;4.33E-01;1.38E+02;3.59E+02;7.01E+00;6.85E+01;3.01E-05
25190;25190;entrées et plats composés;plats composés;Poulet basquaise;Chicken, Basque style;2;0;Glacé;PP;Micro-onde ;2.47;6.93E-01;5.17E+00;3.47E-07;1.07E+00;1.37E-02;5.67E-07;1.13E-07;4.85E-09;7.70E-02;1.10E-03;2.20E-02;3.20E-01;1.05E+02;2.65E+02;5.94E+00;5.70E+01;2.39E-05
25405;25405;entrées et plats composés;pizzas, tartes et crêpes salées;Quiche lorraine;Quiche Lorraine (eggs and lardoons quiche);2;0;Glacé;Carton;Four ;1.93;5.70E-01;4.28E+00;2.25E-07;1.82E+00;9.05E-03;4.76E-07;8.72E-08;3.49E-09;6.62E-02;7.12E-04;1.85E-02;2.83E-01;6.05E+01;2.45E+02;2.43E+00;5.39E+01;2.10E-05
25018;25018;entrées et plats composés;plats composés;Ratatouille cuisinée;Ratatouille cooked;2;0;Glacé;PP;Micro-onde ;2.52;2.11E-01;9.84E-01;1.32E-07;7.79E-01;4.29E-03;9.57E-08;5.65E-08;1.36E-09;1.18E-02;2.36E-04;5.76E-03;4.56E-02;1.51E+01;1.09E+02;5.87E+00;2.99E+01;1.01E-05
25019;25019;entrées et plats composés;plats composés;Ravioli à la viande, sauce tomate, appertisé;Ravioli filled with meat, in tomato sauce, canned;2;0;Ambiant (long);Acier;Micro-onde ;1.20;3.21E-01;3.22E+00;1.42E-07;3.69E-01;5.78E-03;2.76E-07;5.70E-08;2.88E-09;3.84E-02;3.31E-04;1.01E-02;1.66E-01;1.64E+01;2.02E+02;1.23E+00;1.98E+01;7.24E-06
25110;25110;entrées et plats composés;plats composés;Ravioli chinois à la vapeur à la crevette, cuit;Dumplings, steamed, with shrimps, cooked;2;0;Glacé;PP;Micro-onde ;2.94;3.43E-01;2.90E+00;8.52E-07;8.01E-01;1.31E-02;2.27E-07;5.12E-08;5.32E-09;2.56E-02;7.49E-04;1.16E-02;7.84E-02;3.09E+01;9.91E+01;1.30E+00;4.53E+01;2.09E-05
25192;25192;entrées et plats composés;plats composés;Raviolis aux légumes, sauce tomate, appertisés;Ravioli filled with vegetables, in tomato sauce, canned;2;0;Ambiant (long);Acier;Micro-onde ;2.65;2.63E-01;1.98E+00;1.34E-07;4.14E-01;4.99E-03;2.25E-07;4.37E-08;2.80E-09;3.02E-02;4.24E-04;9.16E-03;1.28E-01;3.31E+01;1.16E+02;1.99E+00;2.01E+01;7.05E-06
25189;25189;entrées et plats composés;plats composés;Risotto, aux fromages;Risotto, w cheeses;2;0;Glacé;PP;Micro-onde ;2.38;3.38E-01;2.39E+00;2.13E-07;9.00E-01;7.61E-03;1.62E-07;1.08E-07;1.75E-09;1.87E-02;5.36E-04;1.05E-02;6.69E-02;2.71E+01;6.86E+01;8.03E+00;3.95E+01;1.96E-05
25188;25188;entrées et plats composés;plats composés;Risotto, aux fruits de mer;Risotto, w seafood;2;0;Glacé;PP;Micro-onde ;2.38;3.38E-01;2.39E+00;2.13E-07;9.00E-01;7.61E-03;1.62E-07;1.08E-07;1.75E-09;1.87E-02;5.36E-04;1.05E-02;6.69E-02;2.71E+01;6.86E+01;8.03E+00;3.95E+01;1.96E-05
25187;25187;entrées et plats composés;plats composés;Risotto, aux légumes;Risotto, w vegetables;2;0;Glacé;PP;Micro-onde ;2.38;3.38E-01;2.39E+00;2.13E-07;9.00E-01;7.61E-03;1.62E-07;1.08E-07;1.75E-09;1.87E-02;5.36E-04;1.05E-02;6.69E-02;2.71E+01;6.86E+01;8.03E+00;3.95E+01;1.96E-05
25196;25196;entrées et plats composés;plats composés;Riste d'aubergines (aubergines, tomates, oignons);Riste (Eggplant, tomatoes, onions);2;0;Glacé;PP;Micro-onde ;2.91;2.11E-01;9.84E-01;1.32E-07;7.79E-01;4.29E-03;9.57E-08;5.65E-08;1.36E-09;1.18E-02;2.36E-04;5.76E-03;4.56E-02;1.51E+01;1.09E+02;5.87E+00;2.99E+01;1.01E-05
25185;25185;entrées et plats composés;plats composés;Riz blanc, cuit, avec légumes et viande;White rice, cooked, with vegetables and meat;2;0;Glacé;PP;Micro-onde ;2.38;4.43E-01;2.51E+00;2.81E-07;1.34E+00;6.37E-03;2.77E-07;1.23E-07;2.02E-09;3.83E-02;4.50E-04;1.26E-02;1.60E-01;3.97E+01;1.27E+02;1.19E+01;4.42E+01;1.19E-05
25184;25184;entrées et plats composés;plats composés;Riz blanc, cuit, avec poulet;White rice, cooked, with chicken;2;0;Glacé;PP;Micro-onde ;2.46;5.23E-01;2.94E+00;3.27E-07;1.48E+00;7.37E-03;3.37E-07;1.50E-07;2.32E-09;4.70E-02;5.17E-04;1.44E-02;1.98E-01;4.61E+01;1.45E+02;1.43E+01;4.91E+01;1.34E-05
25088;25088;entrées et plats composés;plats composés;Riz cantonais;Cantonese rice;2;0;Glacé;PP;Micro-onde ;2.49;5.22E-01;2.54E+00;3.62E-07;1.09E+00;6.99E-03;2.60E-07;2.11E-07;2.09E-09;3.66E-02;4.78E-04;1.49E-02;1.52E-01;4.31E+01;1.30E+02;2.16E+01;3.99E+01;1.28E-05
25419;25419;entrées et plats composés;feuilletées et autres entrées;Rouleau de printemps;Spring roll;2;0;Glacé;PS;Four ;2.71;3.31E-01;1.70E+00;2.36E-07;1.20E+00;6.20E-03;1.05E-07;1.34E-07;1.83E-09;1.28E-02;3.20E-04;9.31E-03;4.33E-02;2.57E+01;7.32E+01;1.32E+01;4.11E+01;1.26E-05
25628;25628;entrées et plats composés;salades composées et crudités;Salade César au poulet (salade verte, fromage, croûtos, sauce);Caesar's salad (salad, chicken, croûtons, sauce);2;0;Glacé;PS;Pas de préparation;2.22;3.80E-01;3.14E+00;1.88E-07;4.63E-01;7.58E-03;3.10E-07;7.35E-08;2.57E-09;4.11E-02;5.35E-04;1.16E-02;1.73E-01;5.07E+01;1.45E+02;3.47E+00;2.89E+01;1.19E-05
25602;25602;entrées et plats composés;salades composées et crudités;Salade composée avec viande ou poisson, appertisée, égouttée;Prepared mixed meat/fish canned, drained salad;2;0;Ambiant (long);Acier;Pas de préparation;2.68;2.74E+00;1.55E+01;3.31E-06;2.27E+00;3.14E-01;3.46E-06;8.96E-08;1.23E-08;4.54E-01;8.22E-04;1.12E-01;1.21E+00;6.83E+01;8.05E+01;1.77E+00;2.34E+02;5.54E-05
26259;26259;entrées et plats composés;salades composées et crudités;Salade de chou ou Coleslaw, avec sauce, préemballée;Coleslaw, w sauce, prepacked;2;0;Glacé;PS;Pas de préparation;2.65;1.36E-01;1.11E+00;1.08E-07;2.16E-01;3.46E-03;7.54E-08;3.27E-08;9.27E-10;8.91E-03;2.07E-04;5.04E-03;3.39E-02;1.97E+01;5.95E+01;1.78E+00;1.62E+01;5.75E-06
25619;25619;entrées et plats composés;salades composées et crudités;Salade de pâtes aux légumes, avec poisson ou viande;Prepared pasta salad, with vegetable, meat or fish;2;0;Glacé;PS;Pas de préparation;2.31;4.00E-01;2.95E+00;3.55E-07;6.56E-01;2.59E-02;3.43E-07;5.44E-08;1.96E-09;4.33E-02;5.96E-04;1.78E-02;1.28E-01;1.79E+01;1.33E+02;1.65E+00;4.52E+01;1.34E-05
25615;25615;entrées et plats composés;salades composées et crudités;Salade de pâtes, végétarienne;Prepared pasta salad, vegetarian;2;0;Glacé;PS;Pas de préparation;1.91;2.26E-01;1.73E+00;1.59E-07;6.09E-01;6.21E-03;1.15E-07;5.22E-08;1.37E-09;1.48E-02;4.39E-04;1.08E-02;5.49E-02;1.28E+01;1.23E+02;2.24E+00;3.12E+01;9.69E-06
25609;25609;entrées et plats composés;salades composées et crudités;Salade de pomme de terre à la piémontaise, préemballée;Potato salad, piémontaise-style, prepacked;2;0;Glacé;PS;Pas de préparation;1.84;4.49E-01;3.16E+00;5.50E-07;1.17E+00;7.86E-03;3.78E-07;6.84E-08;2.86E-09;5.18E-02;5.36E-04;1.48E-02;2.20E-01;4.84E+01;1.86E+02;3.18E+00;4.47E+01;1.34E-05
25606;25606;entrées et plats composés;salades composées et crudités;Salade de pommes de terre maison;Prepared potatoes salad, home-made;2;0;Glacé;PS;Pas de préparation;1.72;5.84E-01;4.49E+00;8.72E-07;1.63E+00;9.74E-03;5.00E-07;7.20E-08;3.38E-09;6.88E-02;6.69E-04;1.83E-02;2.92E-01;5.83E+01;2.23E+02;3.17E+00;5.88E+01;1.66E-05
25614;25614;entrées et plats composés;salades composées et crudités;Salade de riz;Prepared rice salad;2;0;Glacé;PS;Pas de préparation;2.06;3.36E-01;1.46E+00;1.22E-07;6.40E-01;4.64E-03;9.44E-08;1.75E-07;1.12E-09;1.28E-02;2.47E-04;8.94E-03;4.85E-02;2.38E+01;6.31E+01;1.90E+01;2.67E+01;7.72E-06
25601;25601;entrées et plats composés;salades composées et crudités;Salade de thon et légumes, appertisée, égouttée;Prepared mixed tuna and vegetable salad, canned, drained;2;0;Ambiant (long);Acier;Pas de préparation;2.59;8.12E-01;5.14E+00;9.84E-07;5.54E-01;7.80E-02;8.99E-07;5.32E-08;5.03E-09;1.17E-01;6.36E-04;3.07E-02;3.20E-01;4.09E+01;7.04E+01;3.04E+00;7.22E+01;2.46E-05
25108;25108;entrées et plats composés;feuilletées et autres entrées;Samossas ou Samoussas;Beef samosas or samoosas;2;0;Glacé;PS;Four ;1.91;2.38E+00;2.38E+01;6.04E-07;2.23E+00;3.63E-02;2.20E-06;4.65E-07;1.18E-08;3.26E-01;1.49E-03;7.55E-02;1.43E+00;1.17E+02;1.67E+03;6.61E+00;9.47E+01;4.88E-05
25518;25518;entrées et plats composés;sandwichs;Sandwich baguette, camembert, beurre;Sandwich made with French bread, camembert cheese and butter;2;0;Glacé;LDPE;Pas de préparation;1.63;3.36E-01;3.24E+00;1.58E-07;8.22E-01;6.35E-03;2.28E-07;6.63E-08;2.17E-09;3.23E-02;4.83E-04;1.22E-02;1.35E-01;3.30E+01;1.75E+02;1.26E+00;3.13E+01;1.07E-05
25530;25530;entrées et plats composés;sandwichs;Sandwich baguette, crudités diverses, mayonnaise;Sandwich made with French bread, raw vegetables and mayonnaise;2;0;Glacé;LDPE;Pas de préparation;2.65;3.19E-01;2.31E+00;1.74E-07;7.73E-01;6.47E-03;2.42E-07;5.18E-08;2.24E-09;3.27E-02;5.03E-04;1.08E-02;1.36E-01;3.99E+01;1.26E+02;2.54E+00;3.38E+01;1.12E-05
25531;25531;entrées et plats composés;sandwichs;Sandwich baguette, dinde, crudités (tomate, salade), mayonnaise;Sandwich made with French bread, turkey, raw vegetables (lettuce & tomato) and mayonnaise;2;0;Glacé;LDPE;Pas de préparation;2.23;3.19E-01;2.31E+00;1.74E-07;7.73E-01;6.47E-03;2.42E-07;5.18E-08;2.24E-09;3.27E-02;5.03E-04;1.08E-02;1.36E-01;3.99E+01;1.26E+02;2.54E+00;3.38E+01;1.12E-05
25485;25485;entrées et plats composés;sandwichs;Sandwich baguette, jambon emmental;Sandwich made with French bread, ham and emmental cheese;2;0;Glacé;LDPE;Pas de préparation;1.87;5.90E-01;4.76E+00;7.35E-07;1.59E+00;9.94E-03;4.87E-07;7.78E-08;3.55E-09;6.79E-02;7.49E-04;1.97E-02;2.89E-01;5.96E+01;2.52E+02;2.67E+00;5.65E+01;1.72E-05
25517;25517;entrées et plats composés;sandwichs;Sandwich baguette, jambon, beurre;Sandwich made with French bread, ham and butter;2;0;Glacé;LDPE;Pas de préparation;1.87;6.52E-01;4.85E+00;9.94E-07;1.91E+00;1.06E-02;5.61E-07;6.86E-08;3.85E-09;7.85E-02;7.99E-04;2.13E-02;3.34E-01;6.60E+01;2.55E+02;3.17E+00;6.60E+01;1.90E-05
25521;25521;entrées et plats composés;sandwichs;Sandwich baguette, jambon, emmental, beurre;Sandwich made with French bread, ham, emmental cheese and butter;2;0;Glacé;LDPE;Pas de préparation;1.87;5.90E-01;4.76E+00;7.35E-07;1.59E+00;9.94E-03;4.87E-07;7.78E-08;3.55E-09;6.79E-02;7.49E-04;1.97E-02;2.89E-01;5.96E+01;2.52E+02;2.67E+00;5.65E+01;1.72E-05
25475;25475;entrées et plats composés;sandwichs;Sandwich baguette, jambon, oeuf dur, crudités (tomate, salade), beurre;Sandwich made with French bread, hard-boiled egg, raw vegetables (tomato and lettuce) and butter;2;0;Glacé;LDPE;Pas de préparation;1.87;3.81E-01;2.68E+00;4.55E-07;1.17E+00;6.71E-03;3.11E-07;4.85E-08;2.40E-09;4.28E-02;5.06E-04;1.27E-02;1.81E-01;3.94E+01;1.48E+02;2.45E+00;4.22E+01;1.19E-05
25535;25535;entrées et plats composés;sandwichs;Sandwich baguette, merguez, ketchup moutarde;Sandwich made with French bread, merguez sausage, ketchup and mustard;2;0;Glacé;LDPE;Pas de préparation;2.28;4.50E-01;3.47E+00;1.82E-07;1.52E+00;7.52E-03;3.64E-07;5.40E-08;2.70E-09;5.07E-02;5.49E-04;1.49E-02;2.15E-01;4.43E+01;1.87E+02;2.04E+00;4.87E+01;1.34E-05
25532;25532;entrées et plats composés;sandwichs;Sandwich baguette, oeuf, crudités (tomate, salade), mayonnaise;Sandwich made with French bread, egg, raw vegetables (tomato and lettuce) and mayonnaise;2;0;Glacé;LDPE;Pas de préparation;2.46;2.97E-01;1.93E+00;1.50E-07;7.53E-01;5.77E-03;2.34E-07;5.68E-08;2.19E-09;3.20E-02;4.49E-04;1.11E-02;1.37E-01;3.38E+01;1.42E+02;2.31E+00;3.01E+01;9.53E-06
25519;25519;entrées et plats composés;sandwichs;Sandwich baguette, pâté, cornichons;Sandwich made with French bread, pâté and pickles;2;0;Glacé;LDPE;Pas de préparation;2.29;4.09E-01;3.03E+00;2.69E-07;1.15E+00;7.73E-03;3.25E-07;5.17E-08;2.65E-09;4.45E-02;5.98E-04;1.34E-02;1.86E-01;4.77E+01;1.62E+02;2.44E+00;4.44E+01;1.34E-05
25533;25533;entrées et plats composés;sandwichs;Sandwich baguette, porc, crudités (tomate, salade), mayonnaise;Sandwich made with French bread, pork, raw vegetables (lettuce & tomato) and mayonnaise;2;0;Glacé;LDPE;Pas de préparation;2.27;3.81E-01;2.68E+00;4.55E-07;1.17E+00;6.71E-03;3.11E-07;4.85E-08;2.40E-09;4.28E-02;5.06E-04;1.27E-02;1.81E-01;3.94E+01;1.48E+02;2.45E+00;4.22E+01;1.19E-05
25476;25476;entrées et plats composés;sandwichs;Sandwich baguette, poulet, crudités (tomate, salade), mayonnaise;Sandwich made with French bread, chicken, raw vegetables (lettuce & tomato) and mayonnaise;2;0;Glacé;LDPE;Pas de préparation;2.23;4.69E-01;3.51E+00;2.51E-07;8.49E-01;9.79E-03;3.60E-07;8.37E-08;3.53E-09;4.86E-02;7.75E-04;1.65E-02;2.02E-01;6.39E+01;2.10E+02;3.61E+00;4.29E+01;1.65E-05
25536;25536;entrées et plats composés;sandwichs;Sandwich baguette, salami, beurre;Sandwich made with French bread, salami and butter;2;0;Glacé;LDPE;Pas de préparation;2.27;6.52E-01;4.85E+00;9.94E-07;1.91E+00;1.06E-02;5.61E-07;6.86E-08;3.85E-09;7.85E-02;7.99E-04;2.13E-02;3.34E-01;6.60E+01;2.55E+02;3.17E+00;6.60E+01;1.90E-05
25520;25520;entrées et plats composés;sandwichs;Sandwich baguette, saucisson, beurre;Sandwich made with French bread, dry sausage and butter;2;0;Glacé;LDPE;Pas de préparation;1.89;4.50E-01;3.47E+00;1.82E-07;1.52E+00;7.52E-03;3.64E-07;5.40E-08;2.70E-09;5.07E-02;5.49E-04;1.49E-02;2.15E-01;4.43E+01;1.87E+02;2.04E+00;4.87E+01;1.34E-05
25488;25488;entrées et plats composés;sandwichs;Sandwich baguette, saumon fumé, beurre;Sandwich made with French bread, smoked salmon and butter;2;0;Glacé;LDPE;Pas de préparation;2.98;2.90E-01;1.89E+00;2.47E-07;7.34E-01;1.61E-02;2.55E-07;3.28E-08;1.63E-09;3.37E-02;3.01E-04;1.06E-02;1.13E-01;2.01E+01;7.15E+01;1.51E+00;3.45E+01;1.03E-05
25431;25431;entrées et plats composés;sandwichs;Sandwich baguette, thon, crudités (tomate, salade), mayonnaise;Sandwich made with French bread, tuna, raw vegetables (tomato and lettuce) and mayonnaise;2;0;Glacé;LDPE;Pas de préparation;2.56;3.92E-01;2.50E+00;4.06E-07;7.58E-01;3.06E-02;3.76E-07;4.01E-08;2.09E-09;4.93E-02;3.13E-04;1.58E-02;1.45E-01;1.90E+01;8.58E+01;1.26E+00;4.37E+01;1.41E-05
25490;25490;entrées et plats composés;sandwichs;Sandwich baguette, thon, maïs, crudités;Sandwich made with French bread, tuna, sweet corn and raw vegetables;2;0;Glacé;LDPE;Pas de préparation;2.56;2.90E-01;1.89E+00;2.47E-07;7.34E-01;1.61E-02;2.55E-07;3.28E-08;1.63E-09;3.37E-02;3.01E-04;1.06E-02;1.13E-01;2.01E+01;7.15E+01;1.51E+00;3.45E+01;1.03E-05
25429;25429;entrées et plats composés;sandwichs;Sandwich grec ou Kebab, baguette, crudités;Sandwich made with French bread, kebab and raw vegetables;2;0;Glacé;LDPE;Pas de préparation;2.37;1.39E+00;1.19E+01;3.59E-07;9.61E-01;2.04E-02;1.39E-06;2.34E-07;6.75E-09;2.03E-01;9.38E-04;4.70E-02;8.96E-01;6.08E+01;1.24E+03;4.81E+00;5.01E+01;2.30E-05
25428;25428;entrées et plats composés;sandwichs;Sandwich grec ou Kebab, pita, crudités;Sandwich made with pita bread, kebab and raw vegetables;2;0;Glacé;LDPE;Pas de préparation;2.37;1.39E+00;1.19E+01;3.59E-07;9.61E-01;2.04E-02;1.39E-06;2.34E-07;6.75E-09;2.03E-01;9.38E-04;4.70E-02;8.96E-01;6.08E+01;1.24E+03;4.81E+00;5.01E+01;2.30E-05
25574;25574;entrées et plats composés;sandwichs;Sandwich pain de mie complet, jambon, crudités, fromage optionnel;Sandwich made with wholemeal loaf bread, ham, raw vegetables, cheese (optional);2;0;Glacé;LDPE;Pas de préparation;1.87;3.81E-01;2.68E+00;4.55E-07;1.17E+00;6.71E-03;3.11E-07;4.85E-08;2.40E-09;4.28E-02;5.06E-04;1.27E-02;1.81E-01;3.94E+01;1.48E+02;2.45E+00;4.22E+01;1.19E-05
25576;25576;entrées et plats composés;sandwichs;Sandwich pain de mie complet, jambon, fromage;Sandwich made with wholemeal loaf bread, ham and cheese;2;0;Glacé;LDPE;Pas de préparation;1.87;5.90E-01;4.76E+00;7.35E-07;1.59E+00;9.94E-03;4.87E-07;7.78E-08;3.55E-09;6.79E-02;7.49E-04;1.97E-02;2.89E-01;5.96E+01;2.52E+02;2.67E+00;5.65E+01;1.72E-05
25577;25577;entrées et plats composés;sandwichs;Sandwich pain de mie complet, poulet, crudités, mayonnaise;Sandwich made with wholemeal loaf bread, chicken, raw vegetables and mayonnaise;2;0;Glacé;LDPE;Pas de préparation;2.23;4.69E-01;3.51E+00;2.51E-07;8.49E-01;9.79E-03;3.60E-07;8.37E-08;3.53E-09;4.86E-02;7.75E-04;1.65E-02;2.02E-01;6.39E+01;2.10E+02;3.61E+00;4.29E+01;1.65E-05
